idgrupo,Descripcion,Cuatrimestre
kNmoaabB9EJcyuFcS,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,2
Kr4jxFqXYhj5pLEsd,Licenciatura en Administracion de Empresas,4
7X88RjbB4KHYfLkWC,Licenciatura en Administracion de Empresas,1
TZb3p7hnGbWogePDa,Licenciatura en Administracion de Empresas Semi-Escolarizada,4
QwZqzD72aHYgLnyuw,Licenciatura en Comercio Exterior y Administracion de Aduanas,4
9LafBKDAq455fyrun,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,5
Hwj7HN8WXxjQSc2ZM,LICENCIATURA EN CONTABILIDAD,6
Kzbkod6SLqRewyKwz,Licenciatura en Contabilidad Financiera,2
MTuEoHYqwf2nQptQh,Licenciatura en Contabilidad Financiera Escolarizada,6
ehpq4Bh4mbtF6nmMd,Licenciatura en Contabilidad Financiera Semi-Escolarizada,1
3iXsFAzGeX9pv8SGF,Licenciatura en Cultura Fisica del Deporte,3
kkLqsMdG8zTzGksdi,Licenciatura en derecho,3
r2BHtpAW6Bjp28Jqv,Licenciatura en Derecho,2
MiKgRnPqwaDotvyKT,LICENCIATURA EN DERECHO 2018,5
GbxNgyNEESc7uHDJk,LICENCIATURA EN DERECHO 2018,4
XuEKDmWpd3gqHkSnC,Licenciatura en Derecho 2020,6
6euvbS6i7Do8r2HJN,Licenciatura en Derecho 2020,6
MXwhjYJ6gcR9yWRLG,Licenciatura en Derecho 2020,3
jJrYNeWrqWnNrujrC,LICENCIATURA EN EDUCACION,1
NbzXdAY4CCozMY64m,Licenciatura en Educacion,4
ZtXLNRqt4daqqtprJ,LICENCIATURA EN EDUCACIoN,6
xDyrpBQyErh7C5mQR,LICENCIATURA EN EDUCACION SEMI-ESCOLARIZADA,5
KNNpucoqgAoFaaqLj,LICENCIATURA EN GASTRONOMIA,1
7Rjqow2M35MXXRRHH,LICENCIATURA EN GASTRONOMIA,6
2fcso7T54DcvErcWG,LICENCIATURA EN GASTRONOMIA,3
w43qMYLx8446SktCS,LICENCIATURA EN GASTRONOMIA,4
hGC6JFjwjts7JjFw6,Licenciatura en Gastronomia,4
tgGAJxvQ8qKxfgwep,LICENCIATURA EN LENGUA INGLESA,6
FHKGkJsD83c9CtS3n,LICENCIATURA EN LENGUA INGLESA,5
HCLNPLbaZpN5NnTkm,LICENCIATURA EN MERCADOTECNIA,5
2M39drMtZtwYp3uaA,Licenciatura en Nutricion,2
7zpo8xcgHjchsHc4B,Licenciatura en Psicologia Organizacional,2
TLiKCA8qXZbcyCkiM,Licenciatura en Psicologia Organizacional Semi-Escolarizada,5
NuKG6GuTB5tkCusPp,Licenciaturas en Administracion de Empresas,1
zZjyKec2SHSd27pKH,MAESTRiA en Direccion de Empresas,6
92vfpxcaEwhi4TWpQ,MAESTRiA EN DIRECCIoN DE EMPRESAS,5
bCgJCh4MqRPM8MSmS,MAESTRiA EN DIRECCIoN DE EMPRESAS,6
raFkBkPsA48B6q3H2,MAESTRiA EN DIRECCIoN DE EMPRESAS,5
T9DFz8T69HKc2r9YY,Maestria en Educacion,6
LfLQ67hhN9qJDTi5S,Nvo. Bach. Gral. Aduanas EA-HCS,6
HRN6DFahXxPJaxeeP,Nvo. Bach. Gral. Aduanas EA-HCS,2
djJKnQWS7ytpYYoby,Nvo. Bach. Gral. Aduanas EA-HCS,6
zKc94QyjFRmZLuXZi,Nvo. Bach. Gral. Aduanas EA-HCS,1
m2EkFrzmKnRBKQbh2,Nvo. Bach. Gral. Aduanas EA-HCS,3
yihncedtNEXnAPkKc,Nvo. Bach. Gral. Aduanas EA-HCS,4
8Tf6PxqKPqP8bJ2y2,Nvo. Bach. Gral. Aduanas EA-HCS,4
um7z5MbLngHJcbJLj,Nvo. Bach. Gral. Conta. EA-HCS,6
Pdan6Qquf7e8aMM3x,Nvo. Bach. Gral. Conta. EA-HCS,6
u8AnkQpzLkaKNX4xx,Nvo. Bach. Gral. Conta. EA-HCS,2
nKNLzpDYgLzXjiQxr,Nvo. Bach. Gral. Conta. EA-HCS,1
3s73arnkBehpziAAN,PREPARATORIA ICEP,4
Zu6iMzDmC5DtX7yGq,Seminario de Tesis,3
hzEq5d6ufyi3fp8bD,SEMINARION DE TITULACIoN,1
zjxyCeaRM8to5DgMj,(NEW) LICENCIATURA EN DERECHO,4
prR8B7KmL4SuD6DF2,Agronegocios semi-escolarizada,3
ZjCwoTHRMKwqgoowf,BACH. CONTA. E.A. - H.C.S.,2
yNw4psNMPyQchkQ2m,BACH. CONTA. E.A. - H.C.S.,3
HbTrTTtcyRGAqWDpg,BACH. CONTA. E.A. - H.C.S.,5
oxHgvfLf67qMLZFBw,BACH. CONTA. E.A. - H.C.S.,3
QaQfHG2db9SxisTf7,BACH. CONTA. E.A. - H.C.S.,1
W4fL3zkPMAJ3BqNYn,BACH. CONTA. E.A. - H.C.S.,6
tvnyfEjhSHSCF76B7,BACH. CONTA. E.A. - H.C.S.,4
u585d9rMhuxG6RNWs,BACH. CONTA. E.A. - H.C.S.,5
B89udSzLhKxNc9hwE,BACH. CONTA. E.A. - H.C.S.,1
bzkJNMptTskCBAWDK,BACH. CONTA. E.A. - H.C.S.,3
tf6thTvWQpWL35sD6,BACH. CONTA. E.A. - H.C.S.,5
xZDfNFBCL7TpaNGPK,BACH. CONTA. E.A. - H.C.S.,4
SnM6dCyiD52YK5wPT,BACH. CONTA. E.A. - H.C.S.,2
RTeYqhGpLPf8vGhsJ,BACH. CONTA. E.A. - H.C.S.,3
rg3bdZDMHeb9nkGDf,BACH. CONTA. E.A. - H.C.S.,5
KahGF4xrdDk8tH5qJ,BACH. CONTA. E.A. - H.C.S.,5
PHq6B5SzHEoBLHmPn,BACH. CONTA. E.A. - H.C.S.,5
w77EYqXgmJbowoxYY,BACH. CONTA. E.A. - H.C.S.,5
5DuvgFhDH7hvmjwvd,BACH. CONTA. E.A. - H.C.S.,2
5n8onZ2v3kFspnBKS,BACH. CONTA. E.A. - H.C.S.,5
nYcyoTfH9FdNKs8mP,BACH. CONTA. E.A. - H.C.S.,3
EB4aKgf3GaCC9naoT,BACH. CONTA. E.A. - H.C.S.,4
JWTSp2EGpwzZE3wsp,BACH. CONTA. F.M. - H.C.S.,6
oxv9wRugQpjAuJjfa,BACH. CONTA. F.M. - H.C.S.,4
TK3pdu6SvgwZcBMoC,Bach.Gral. Aduanas EA-HCS - PRESENCIAL,4
2KwnHSwx2sLsrDats,Bach.Gral. Aduanas EA-HCS - PRESENCIAL,4
rHbxdpzC3uZZofe3m,Bachillearto 2009,4
TENarw4imeB5H7vQS,Bachillearto 2009,2
KZDP4nDLzdS3rKbBp,Bachillearto 2009,1
jcnfENYXcjqiAEvDG,Bachillearto 2009,2
iiryc5CyTczCTkRzF,BACHILLERATO,1
ZRCvjD8SNfaTWYb9v,BACHILLERATO,1
iSSTH2WFnvNc958cy,Bachillerato 2009,2
mu5pLHGcGxEP4DgKY,Bachillerato 2009,6
kCEdCpmqo3xoPSMEN,Bachillerato 2009,4
vAztv7oxcH7Jy3R4Y,Bachillerato 2009,2
u3Sxcfh6eC2JLrkGq,BACHILLERATO CON GASTRONOMIA,5
Fggc7hsHNkYbJNiyk,Bachillerato Economico Administrativo- Historico Social,1
77GqjWnurWoxEj7Ad,Bachillerato Economico Administrativo- Historico Social,2
n8mYYRCz93ZnwJBQb,Bachillerato Economico Administrativo- Historico Social,5
SWxo5AtciGDbbav2P,Bachillerato Economico Administrativo- Historico Social,1
3aCxkRm5tsDirggHT,Bachillerato Economico Administrativo- Historico Social,6
e3yGZD4mWNaLMfabc,Bachillerato Economico Administrativo- Historico Social,6
S3zo4SS3xLYBfTRKu,Bachillerato Economico Administrativo- Historico Social,3
Ps3rk8uS6db7xiKDj,BACHILLERATO ESCOLARIZADO,6
Lnb6CfwcNFAnr3sT9,BACHILLERATO ESCOLARIZADO FM-QB,1
G8M3tEfRMakzA6ypa,Bachillerato Federal,4
3Du6FnRgp9A8HLpKp,Bachillerato Federal,1
nCx2wDWy2u2qJP7F2,Bachillerato Federal,6
97jDcmbvB3esZ5oG2,Bachillerato Federal,4
JZRqu3qrXiGoSjtwT,Bachillerato Federal,5
NN6WXo4YaEyKShEcg,Bachillerato Federal,1
4KqxSGsunCTgHjkAH,Bachillerato Federal,4
QLcAb9jtvM6rEKmxS,Bachillerato Federal,3
fJuQKHoZTMJJcZwZv,Bachillerato Federal,1
g8KAv5i7Wu34sj4BY,Bachillerato Federal,6
24gAY25rdzdoFpqDW,Bachillerato Federal,4
YiPvmACQgim78ZR9r,Bachillerato Federal,4
vSD5vn47w54ycdfYt,Bachillerato Federal (MATUTINO),2
ugaLiaP7aTYMb2ZFo,"Bachillerato Fisico-Matematico, Quimico-Biologico",5
cA5GDapj5AZp97gZG,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,6
bG7Dp33x2eAtzYxKW,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
Bx4L2buCwcTsYubEE,Bachillerato General con Formacion para el Trabajo en Administracion,3
LNdFPYE6jGgsNB73Q,Bachillerato General con Formacion para el Trabajo en Administracion,1
9iB2fxtHTSAYY7oRh,Bachillerato General con Formacion para el Trabajo en Administracion,1
YDm88fiwB3xzZJhRB,Bachillerato General con Formacion para el Trabajo en Administracion,1
nigtoWtSfc6Hpm583,Bachillerato General con Formacion para el Trabajo en Administracion,3
riXH9DerMmTPTWbpF,Bachillerato General con Formacion para el Trabajo en Administracion,4
LKaHCNyTqeY2EfcgF,Bachillerato General con Formacion para el Trabajo en Administracion,5
36Y9C4M2LemaEoeXK,Bachillerato General con Formacion para el Trabajo en Administracion,2
nJoL5JymoNxgBagRZ,Bachillerato General con Formacion para el Trabajo en Administracion,4
qPd5THTqmAyFTzJEv,Bachillerato General con Formacion para el Trabajo en Administracion,5
5McRxTRWrrWms2cnY,Bachillerato General con Formacion para el Trabajo en Administracion,1
qFiGKRtXhnp65uyec,Bachillerato General con Formacion para el Trabajo en Administracion,2
akALFyNPfLPzFShTY,Bachillerato General con Formacion para el Trabajo en Administracion,1
xLio8tcEqP9BXHmFs,Bachillerato General con Formacion para el Trabajo en Administracion,5
Rcnp2M3C46EH6w92Y,Bachillerato General con Formacion para el Trabajo en Administracion,3
wWBv7Kk8Bnu2XfSfp,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,6
5kDbWdHAj543TiFfn,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
7TYnuNuWsqGfAaAfn,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
ruyLuNWbDMnXii5wd,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,1
ZBJaN9N3y6Ry9Jrmp,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,5
zTKwEPejQsgyDvjjE,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,6
QYtiQfeCtdCv8rokz,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,2
bsztQbsevHjLg7xEm,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
pv353v6WQ3KhY53ow,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,1
yK28nGjxhKeuW5zZo,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,1
aabX8MAZWZRY9AffK,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,1
Co4cZBW5mDdAwPJLf,Bachillerato General con Formacion para el Trabajo en Informatica,3
wcoSdvs6BfvpZsz4Z,Bachillerato General con Formacion para el Trabajo en Informatica,6
RvPbpczgXKtfMapYQ,Bachillerato General con Formacion para el Trabajo en Informatica,3
GWegZLQMSTfRRrNbk,Bachillerato General con Formacion para el Trabajo en Informatica,5
pzRJMDTCAX389vYJK,Bachillerato General en formacion para el trabajo en Informatica,1
PQaB7AtJq6SYQBnwA,Bachillerato General en formacion para el trabajo en Informatica,3
skLtByWRPthxBQtXG,Bachillerato Humanidades,2
6R4FpSj5JxFtXE5eG,Bachillerato Humanidades,6
fTe227BBDnb5JcbHd,Bachillerato Humanidades,4
CPvbPixXY3LguXLMC,Bachillerato Humanidades,3
wQaoXZ4CfXaAss8jT,Bachillerato Humanidades,2
iypoHpoqrF3YYmMze,Bachillerato Humanidades,1
MMNKnKaNLpQEZMwNa,Bachillerato Humanidades,3
H3zqoWYh52ftQ68eN,Bachillerato Humanidades,5
iZFv6JYwuxPqqzqQ8,Bachillerato Humanidades Vespertino,2
qXdcXtzdJTy8voQaz,Bachillerato Jalisco 2019,1
haxRoMoYDM7S2KzAN,Bachillerato Jalisco 2019,3
rbXQ2AXbMtoyrWHuR,Bachillerato Jalisco 2019,4
Bx9ixkN3cAwSYTWqP,Bachillerato Jalisco 2019,6
4YyqNCw7RPWMmicGR,Bachillerato Jalisco 2019,2
ucCwgFtdYCuLXBfno,Bachillerato Jalisco 2019,3
uf3CWrqT9pPwvazwm,Bachillerato Jalisco 2019,6
qgEqcuJhhnBWbGsP2,Bachillerato Jalisco 2019,5
nSHnawi9cAke43mSH,Bachillerato Semiescolariado (Matutino),4
mYhvan4bwozWkkyRA,Bachillerato Semiescolariado (Matutino),6
YpA6Cd9Yqk3LbwySS,Bachillerato Semiescolariado (Matutino),2
h5gaiG9T3DdH8j6fD,BACHILLERATO SEMIESCOLARIZADO,4
HXRPQPgKXZx7Pt9xx,BACHILLERATO SEMIESCOLARIZADO,3
7T5MWZfDCf5BgDRpf,BACHILLERATO SEMIESCOLARIZADO,3
SKSyXvsuLTZS4nQjb,Bachillerato Semiescolarizado (Vespertino),6
AeuuL4R2F6mPwTNoA,Bachillerato Semiescolarizado (Vespertino),6
Hb7da7Tpnf3z8kq9o,Bachillerato Semiescolarizado (Vespertino),4
vJwsCAR2GPyceCXmw,Bachillerato Semiescolarizado (Vespertino),4
TdzPie59Ppk9XNdv4,CECAP INFORMaTICA,2
oCtctLAMKEutQLPQT,CECAP informatica,1
qb2rPugxikSJG6SMu,CECAP INGLES,3
tffXqYmKEJwGHjETJ,CECAP INGLES,5
zRS4ZzTFoPDCd5hce,CECAP INGLES,4
4q2zj6N2ngmaxcBcX,CECAP INGLES,2
xP4xKrtmfZ9j5enbd,Cocina Mexicana,4
285drNgFXX93Zgnnw,Curso de titulacion,5
BJHbXuh5xMhxFzYxe,Curso de titulacion,4
LMf362YwCGWTxmqZc,Diplomado de Titulacion,2
asYPMQYeZ8tBAJT93,Diplomado de Titulacion,3
DE46xcwBndFMFguk2,Diplomado de Titulacion,1
KKN8Nvmc4wmiASSes,Diplomado de Titulacion,3
DsrXuy3WdkgwsKiEh,Diplomado de Titulacion,5
RwLAu9bDTfMCjnhqn,Diplomado de Titulacion,3
6qg6a3SFL82XgkrWM,Diplomado de Titulacion,2
RJ3XbdihS4Wj8YbLN,DIPLOMADO EN COCINA INTERNACIONAL,4
5v4HDrd5fnHzDCDf3,DIPLOMADO EN COCINA INTERNACIONAL,3
2D4BNTrKkqZ8RbCiX,Diplomado en Gestion de Ventas,2
zJHXETqhEeiJjudBC,Disenador Analista En Sistemas Computacionales,6
Ehhm7yBY7WqYKPReM,Disenador Analista En Sistemas Computacionales,1
GF9ZzfcnknaqT7PcB,Disenador Analista En Sistemas Computacionales,1
yozWd3Xogj2mF2ycr,Disenador Analista En Sistemas Computacionales,3
A9DosyQx3kLZKQ52o,FORMACIoN PARA EL TRABAJO EN GASTRONOMiA,1
oNtsTfbcXwqoAkdD4,FORMULACION DE PROYECTOS,3
Rmvs2nzepeqyopK3h,FORMULACION DE PROYECTOS,4
qAWHhzooWdGArNehx,FORMULACION DE PROYECTOS,2
LvouTbnvQMtSTE8ZX,Gastronomia internacional,6
EJsLPzpWvgynaBYyJ,Gastronomia internacional,2
D3Ja2SvxNwECBRkRS,Gastronomia internacional,2
yKuDvi5WNpyNyqPBE,ING EN SISTEMAS COMPUTACIONALES_Mixto,1
L36hL2xSKfDDDGE6q,ING EN SISTEMAS COMPUTACIONALES_Mixto,2
CjhsvQeKztmbEQKFt,ING GESTIoN EMPRESARIAL,1
qBdRhsZsPTWd7WibQ,ING GESTIoN EMPRESARIAL,5
cBRftAtcJnM4Y9tPM,Ing. en Gestion Empresarial - Presencial,1
nwYBCtFZCQCdLnxf5,ING. SISTEMAS COMPUTACIONALES,1
9jdbAWzzdunm847pE,Ingenieria en Gestio Empresarial,2
DKenQLx3RNrg9GG8Q,INGENIERIA EN GESTIO EMPRESARIAL,2
YBCBWDHJx46Jx89Qr,INGENIERIA EN GESTIO EMPRESARIAL,4
gASFmrf6PewDRcyPN,INGENIERIA EN GESTION EMPRESARIAL,4
GPHKsYT4dLdEH7PoK,INGENIERIA EN GESTION EMPRESARIAL,4
GPPcMSTJkChWk8XY7,INGENIERIA EN GESTION EMPRESARIAL,2
yQHEiipobawDmbvGh,INGENIERIA EN GESTIoN EMPRESARIAL,3
uvzgkjq2SumGet2YW,Ingenieria en Gestion Empresarial Semi-Escolarizada,6
u47AJuvNBxpeW2djD,Ingenieria en Gestion Empresarial Semi-Escolarizada,3
o7pHDCe7gz7rEKpDg,INGENIERIA EN SISTEMAS COMPUTACIONALES,6
jnD5zHkF8zpjSzBvc,INGENIERIA EN SISTEMAS COMPUTACIONALES,4
sqpWmCkQtZzdBogpa,INGENIERIA EN SISTEMAS COMPUTACIONALES,1
MYyKy2v4JxAt9453H,INGENIERIA EN SISTEMAS COMPUTACIONALES,3
vkq3Gnz7hhvKgHcP2,INGENIERIA EN SISTEMAS COMPUTACIONALES,2
tB6yogPJRYLaozvFe,INGENIERIA EN SISTEMAS COMPUTACIONALES,2
6p9keRQwSCqo86Pnf,INGENIERIA EN SISTEMAS COMPUTACIONALES,6
MPRqFsNa7fceK2k3h,INGENIERIA EN SISTEMAS COMPUTACIONALES,1
L5NvsX7tf2nwyhtCc,Ingenieria en Sistemas Computacionales Semi-Escolarizada,4
uaxjdvg54NK7oG48Y,Ingenieria en Sistemas Computacionales Semi-Escolarizada,2
mvwvfs3BDHSSgruPd,INGLES BASICO,1
ofdvtP9oWaHBpquej,INGLES BASICO,6
wx2y4cPBQZ3bmPdTu,INGLES BASICO,5
daoeQoaj96ghfMF2z,LA LICENCIATURA EN ENFERMERIA,4
Ks39bcMtZStdMYwEf,LIC EN ADMINISTRACIoN DE EMPRESAS,4
FsFKyd9DjtLjSes6W,LIC EN ADMINISTRACIoN DE EMPRESAS,5
SkyRqKKkejnN6PTWm,LIC EN ADMINISTRACIoN DE EMPRESAS EJE 21,6
ofjWeGARM9TRadRtJ,LIC EN COMERCIO EXTERIOR Y ADMINISTRACIoN DE ADUANAS,1
PFfZFNvu2bz7JG9sY,LIC EN CONTABILIDAD FINANCIERA,6
kMiB8NZ9qGkXfWYGm,LIC EN CONTABILIDAD FINANCIERA,3
9hgidJ8BXH2opNsu3,LIC EN CONTABILIDAD FINANCIERA,3
HbmJsv8CQE7EoSK4F,LIC EN CULTURA FiSICA Y DEPORTE PRES  21,6
Y38xozFWoSRyDush8,LIC EN CULTURA FiSICA Y DEPORTE PRES  21,1
r5EkyRfXoYDZKjHQE,LIC EN DERECHO,5
4i2PRMdic8DJsJwqv,LIC EN DERECHO,6
Z6FFJjrisd8H3KZdy,LIC EN MERCADOTECNIA EJE 21,3
NcGCKN36PErubiZfi,LIC EN PSICOLOGiA ORGANIZACIONAL,1
N6N4M7nuQ2x2FzwC8,LIC EN PSICOLOGiA ORGANIZACIONAL,5
2h5DELHi5qaB2yuH2,LIC. ADMINISTRACIoN,1
9o4WzGDhHrJPokJtp,LIC. ADMINISTRACIoN,1
g3HRwHmzPN6Gxzozz,LIC. ADMINISTRACIoN,2
HneKHEsg6sCKS9jjt,LIC. ADMINISTRACIoN,1
MTBL96h2MMStMTLio,LIC. COMERCIO EXTERIOR Y ADMINISTRACIoN DE ADUANAS EJEC 17,4
Tk3KtNwhKXCaypaAQ,LIC. CONTABILIDAD FINANCIERA,1
aDqJDx6FaFhHh9x42,LIC. CONTABILIDAD FINANCIERA,6
zAb7T5MMeLBDhQr3M,LIC. CONTABILIDAD FINANCIERA,3
TFWQybEXp6vma6R2c,LIC. DERECHO,4
TkMLcn84ASWdd95Q3,LIC. EN ADMINISTRACION,6
CStAPEE7fGKGH46MN,Lic. En Comercio Exterior - Presencial,6
mkH7RzWMm9vRdNFWf,Lic. En Comercio Exterior - Presencial,6
WsWsEddaXYBPf6SDD,Lic. En Comercio Exterior - Presencial,1
T44uXnJyqfmEn8iTC,LIC. EN CONTABILIDAD FINANCIERA,1
oWas5PBrW43mtBjoC,LIC. PSICOLOGIA ORGANIZACIONAL  EJE 21,5
6ghtCbwW88KP6GAjg,LICENCIATURA EN ADMINISTRACION,3
sWCqMeJGcNv3CyiHZ,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS E3 18/21,3
sq36aMjFefxmm8Pfy,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS EJECUTIVO,5
f8eMGffSjYDSZhBe3,Licenciatura en Administracion de Empresas,5
WKoXKuHzWTmpbgBwD,Licenciatura en Administracion de Empresas,5
WjjfcMZkMqQjnMLem,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,6
tKvKuwaMdY9fQmgph,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,4
GCnpXrgafwqW9smae,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,3
9jiMXWfrCzod8fdYG,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,2
rKyMX4QtLNheu7kBb,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,2
EBuPHSnk4b3h9TXEa,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,6
9XbEtqKgmT2fEfLA7,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,1
WFEAdPTZhqsFW43Cu,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,6
26qaaWQxpBhBJmR8c,Licenciatura en Administracion de Empresas,6
viRtebuosBLoQ83YF,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS ESCOLARIZADA,1
AP28vgLdK4kcSuvYt,Licenciatura en Agronegocios,6
ZKW7PQ9edwG9wJdg2,Licenciatura en Comercio Exterior y Administracion de Aduanas,3
jYKDkjSYCyy32kyet,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,4
3rp2roSAuh3BpiJpa,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,3
dDLvZLbSvPKaNg52z,LICENCIATURA EN COMERCIO EXTERIOR Y ADMINISTRACION DE ADUANAS,3
MoHFTJEq5pstCjQKs,Licenciatura en Comercio Exterior y Administracion de Aduanas,2
tubgkYDH74M4MvDXh,Licenciatura en Comercio Exterior y Administracion de Aduanas,1
nhAL3xcLysAnzQqfE,LICENCIATURA EN CONTABILIDAD,6
H7nThH69t88DZvMLC,LICENCIATURA EN CONTABILIDAD,2
HiWit2uFrdJ9iTrnn,Licenciatura en Contabilidad Financiera,1
C9huJ2rzxNrxAhGo5,Licenciatura en Contabilidad Financiera Escolarizada,5
M7qQsoiuD8u7xGnsC,Licenciatura en Contabilidad Financiera Escolarizada,3
ENEfeEA64EFGNH8FQ,Licenciatura en Contabilidad Financiera Escolarizada,4
ymHMfiFrifoK4isDK,Licenciatura en Contabilidad Financiera Semi-Escolarizada,1
nwBy9vA8LuTpcnX9A,Licenciatura en Contabilidad Financiera Semi-Escolarizada,3
B3hr9jBuTTWHBzxRi,LICENCIATURA EN DERECHO,6
AkKSdToooJZsAq7v7,LICENCIATURA EN DERECHO (COLIMA),6
8mbo48A9dZpChndX3,LICENCIATURA EN DERECHO 2018,4
kZDjaj4WHRgFMLTX2,LICENCIATURA EN DERECHO ESCOLARIZADA,1
RBLzDHRdXRouZZbpd,LICENCIATURA EN DERECHO ESCOLARIZADA,5
BrrW9yFz3WBXkx9CA,LICENCIATURA EN DERECHO MIXTA,1
zrkEWoNT2qrJKNt7L,LICENCIATURA EN DERECHO MIXTA,1
qbhZsnhRW3CdACP6J,Licenciatura en derecho semi-escolarizada,6
yE25yirkwxqEFwRZp,Licenciatura en Educacion,4
6pB2ck8nS8wfJ8ZPz,LICENCIATURA EN EDUCACIoN,1
vWSXD8xBCNdvctHfg,LICENCIATURA EN EDUCACIoN,6
wdm89gS6gisPR7MB9,LICENCIATURA EN EDUCACIoN,6
mdvTtGEgEPbRsoB5f,Licenciatura en Educacion Mixta,6
kK8dJBavrGPCh582g,Licenciatura en Gastronomia,3
n2tbD6ESedrTmtzXp,LICENCIATURA EN GASTRONOMIA,2
pjNAorG3QcLfhZWAn,Licenciatura en Gastronomia,4
ba5uvffSaugdEEDd7,LICENCIATURA EN GASTRONOMIA,6
4jzZYbEE9sdPKtMZ5,LICENCIATURA EN GASTRONOMIA,3
FWxikAG3xMuLTw9Re,LICENCIATURA EN GASTRONOMIA,1
ckKtFfnDGto7jPkR2,LICENCIATURA EN GASTRONOMIA,2
YiebsbeZDYdas2icz,Licenciatura en Gastronomia,2
BXoEZRtuh8byyJ3zq,Licenciatura en Gastronomia,1
rw9oPNyuvGoKD2uHB,Licenciatura en Gestion Empresarial,4
t4ZFas6HLxePritCo,LICENCIATURA EN LENGUA INGLESA,1
sBtjTDpapZZXsML4J,LICENCIATURA EN LENGUA INGLESA,5
iAfEgRPgPMrRkm2y7,LICENCIATURA EN LENGUA INGLESA,2
7KRAY6qDHzcbQycLq,Licenciatura en Nutricion ESCOLARIZADO,6
ntECvHn3t5cNxp3h5,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,5
n9RnwF6LdbCdFJHZt,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,3
wui7nixSkd2qR7uRK,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,5
gJ8Nr7kRMihmkhJBb,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,5
dzWXD3u9QfAuK8oq4,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,1
TWSK5Spi4GBs9f2R9,LICENCIATURA EN PSICOLOGIA ORGANIZACIONAL,3
y2xE9nMFyiZ8gj2rJ,Licenciatura en Psicologia Organizacional,6
gySxStp9SWn8v9YDj,Licenciatura en Psicologia Organizacional,4
fDaMLWWgXgBuS2GBD,Licenciatura en Psicologia Organizacional,4
PbZuHZMs3oa5J6Bah,Licenciaturas en Administracion de Empresas,2
LbMbGiFY4iC7aifmQ,Licenciaturas en Administracion de Empresas,3
fdFWT6jXacPfF53gP,MAESTRiA EN DIRECCION DE EMPRESAS,2
s65uk7999QdQxKSu5,Maestria en Direccion de Empresas,6
nYuCcuNcro86pnuzq,MAESTRiA en Direccion de Empresas,5
vMunFrfXdTCEhvcLX,MAESTRiA EN DIRECCIoN DE EMPRESAS,5
EHTeLjj3wRy468wyf,Maestria en Educacion,6
CL38gSQkMYf2sB2GD,Maestria en Educacion,4
MPrgi4pLcHh9vK6aa,Nvo. Bach. Gral. Aduanas EA-HCS,5
62KCGdiSi5cKL37gR,Nvo. Bach. Gral. Aduanas EA-HCS,3
sH4jpk4TDeE7hpguZ,Nvo. Bach. Gral. Aduanas EA-HCS,1
HZHk9nLpRnLnye5RT,Nvo. Bach. Gral. Aduanas EA-HCS,6
o8YuyMA8JN4wer4cf,Nvo. Bach. Gral. Aduanas EA-HCS,1
